Round,Salary
1,"$7,377,569"
1,"$7,049,260"
1,"$6,840,339"
1,"$6,601,571"
1,"$6,183,723"
1,"$5,437,572"
1,"$4,840,647"
1,"$4,243,725"
1,"$4,213,879"
1,"$4,049,724"
1,"$3,796,033"
1,"$3,437,878"
1,"$3,348,340"
1,"$3,199,111"
1,"$3,139,419"
1,"$2,960,340"
1,"$2,900,647"
1,"$2,826,034"
1,"$2,781,263"
1,"$2,766,341"
1,Forfeited
1,"$2,721,571"
1,"$2,691,726"
1,"$2,632,032"
1,"$2,602,189"
1,"$2,572,341"
1,"$2,542,495"
1,"$2,527,571"
1,"$2,407,820"
1,"$2,344,404"
1,"$2,291,285"
1,"$2,257,081"
2,"$1,826,188"
2,"$1,811,263"
2,"$1,796,341"
2,"$1,766,496"
2,"$1,754,557"
2,"$1,727,696"
2,"$1,700,832"
2,"$1,676,958"
2,"$1,653,080"
2,"$1,626,218"
2,"$1,602,342"
2,"$1,579,590"
2,"$1,547,722"
2,"$1,513,400"
2,"$1,468,034"
2,"$1,438,188"
2,"$1,408,341"
2,"$1,378,497"
2,"$1,348,650"
2,"$1,318,804"
2,"$1,288,958"
2,"$1,259,111"
2,"$1,229,265"
2,"$1,214,343"
2,"$1,205,387"
2,"$1,190,466"
2,"$1,169,571"
2,"$1,160,618"
2,"$1,148,680"
2,"$1,139,725"
2,"$1,136,742"
2,"$1,130,773"
3,"$1,071,051"
3,"$1,068,435"
3,"$1,068,174"
3,"$1,065,358"
3,"$1,062,282"
3,"$1,056,419"
3,"$1,052,424"
3,"$1,049,604"
3,"$1,045,806"
3,"$1,043,923"
3,"$1,041,014"
3,"$1,032,783"
3,"$1,031,854"
3,"$1,030,194"
3,"$1,026,805"
3,"$1,023,381"
3,"$1,019,957"
3,"$1,017,532"
3,"$1,012,598"
3,"$1,009,086"
3,"$1,007,118"
3,"$1,003,784"
3,"$1,000,663"
3,"$998,958"
3,"$998,394"
3,"$998,112"
3,"$997,828"
3,"$996,414"
3,"$993,583"
3,"$990,753"
3,"$987,922"
3,"$985,093"
3,"$980,991"
3,"$980,991"
3,"$980,991"
3,"$980,991"
3,"$980,991"
3,"$980,991"
3,"$980,991"
4,"$976,888"
4,"$971,853"
4,"$971,135"
4,"$969,776"
4,"$967,747"
4,"$966,572"
4,"$965,779"
4,"$964,665"
4,"$963,433"
4,"$961,929"
4,"$958,368"
4,"$957,885"
4,"$957,064"
4,"$956,859"
4,"$955,832"
4,"$953,229"
4,"$952,398"
4,"$950,501"
4,"$948,511"
4,"$947,245"
4,"$945,971"
4,"$944,100"
4,"$941,775"
4,"$941,775"
4,"$939,857"
4,"$938,327"
4,"$936,070"
4,"$935,092"
4,"$932,844"
4,"$931,267"
4,"$928,715"
4,"$926,047"
4,"$887,214"
5,"$848,379"
5,Forfeited
5,"$846,775"
5,"$846,343"
5,"$844,448"
5,"$842,197"
5,"$841,524"
5,"$840,841"
5,"$840,612"
5,"$840,386"
5,"$838,765"
5,"$838,011"
5,"$837,646"
5,"$837,533"
5,"$837,326"
5,"$837,262"
5,"$836,759"
5,"$836,223"
5,"$835,480"
5,"$835,247"
5,"$834,452"
5,"$834,083"
5,"$833,275"
5,"$832,923"
5,"$831,497"
5,"$831,305"
5,"$830,572"
5,"$828,279"
5,"$827,084"
5,"$825,230"
5,"$824,316"
5,"$823,175"
5,"$815,992"
5,"$815,992"
5,"$815,992"
5,"$815,992"
5,"$815,992"
5,"$815,992"
5,"$815,992"
5,"$815,992"
5,"$815,992"
5,"$815,992"
5,"$815,992"
6,"$808,805"
6,"$807,115"
6,"$806,192"
6,"$805,053"
6,"$803,835"
6,"$802,857"
6,"$802,142"
6,"$801,790"
6,"$801,129"
6,"$800,444"
6,"$800,243"
6,"$799,152"
6,"$798,480"
6,"$798,297"
6,"$798,072"
6,"$797,867"
6,"$797,575"
6,"$797,507"
6,"$797,413"
6,"$797,378"
6,"$797,087"
6,"$796,653"
6,"$796,413"
6,"$795,787"
6,"$795,145"
6,"$794,477"
6,"$794,280"
6,"$794,097"
6,"$792,934"
6,"$792,232"
6,"$791,539"
6,"$790,277"
6,"$785,917"
6,"$785,917"
6,"$785,917"
6,"$785,917"
6,"$785,917"
6,"$785,917"
6,"$785,917"
6,"$785,917"
7,"$781,554"
7,"$781,452"
7,"$780,814"
7,"$780,568"
7,"$779,739"
7,"$779,093"
7,"$778,634"
7,"$778,506"
7,"$778,416"
7,"$778,222"
7,"$777,663"
7,"$777,506"
7,"$777,503"
7,"$777,125"
7,"$777,115"
7,"$777,011"
7,"$776,407"
7,"$775,950"
7,"$775,541"
7,"$774,472"
7,"$773,460"
7,"$773,227"
7,"$772,984"
7,"$772,745"
7,"$772,564"
7,"$772,367"
7,"$772,184"
7,"$772,004"
7,"$771,726"
7,"$771,522"
7,"$771,231"
7,"$770,952"
7,"$770,952"
7,"$770,952"
7,"$770,952"
7,"$770,952"
7,"$770,952"
7,"$770,952"
7,"$770,952"
7,"$770,952"
7,"$770,952"
7,"$770,952"