"","yearly_id","cluster_xgboost"
"514","2019_00-0031325","Cluster 3"
"515","2019_00-0031339","Cluster Other"
"516","2019_00-0031344","Cluster 6"
"517","2019_00-0031381","Cluster 3"
"518","2019_00-0031382","Cluster 3"
"519","2019_00-0031408","Cluster 5"
"520","2019_00-0031428","Cluster 3"
"521","2019_00-0031431","Cluster 6"
"522","2019_00-0031511","Cluster Other"
"523","2019_00-0031544","Cluster 3"
"524","2019_00-0031547","Cluster 5"
"525","2019_00-0031549","Cluster 5"
"526","2019_00-0031570","Cluster Other"
"527","2019_00-0031588","Cluster 3"
"528","2019_00-0031787","Cluster 6"
"529","2019_00-0031868","Cluster 7"
"530","2019_00-0031941","Cluster 7"
"531","2019_00-0031953","Cluster Other"
"532","2019_00-0031972","Cluster Other"
"533","2019_00-0032009","Cluster 7"
"534","2019_00-0032054","Cluster 5"
"535","2019_00-0032128","Cluster 5"
"536","2019_00-0032208","Cluster 5"
"537","2019_00-0032211","Cluster 3"
"538","2019_00-0032355","Cluster 7"
"539","2019_00-0032385","Cluster 3"
"540","2019_00-0032464","Cluster Other"
"541","2019_00-0032543","Cluster 7"
"542","2019_00-0032626","Cluster 7"
"543","2019_00-0032688","Cluster 5"
"544","2019_00-0032728","Cluster Other"
"545","2019_00-0032765","Cluster 3"
"546","2019_00-0032775","Cluster 5"
"547","2019_00-0032778","Cluster 6"
"548","2019_00-0032791","Cluster 6"
"549","2019_00-0032795","Cluster 6"
"550","2019_00-0032935","Cluster Other"
"551","2019_00-0032945","Cluster 5"
"552","2019_00-0032951","Cluster 6"
"553","2019_00-0032977","Cluster Other"
"554","2019_00-0032980","Cluster 5"
"555","2019_00-0033009","Cluster 3"
"556","2019_00-0033040","Cluster 3"
"557","2019_00-0033094","Cluster Other"
"558","2019_00-0033111","Cluster Other"
"559","2019_00-0033114","Cluster Other"
"560","2019_00-0033127","Cluster 3"
"561","2019_00-0033251","Cluster 3"
"562","2019_00-0033282","Cluster 5"
"563","2019_00-0033307","Cluster Other"
"564","2019_00-0033375","Cluster 5"
"565","2019_00-0033382","Cluster Other"
"566","2019_00-0033434","Cluster Other"
"567","2019_00-0033460","Cluster 5"
"568","2019_00-0033466","Cluster Other"
"569","2019_00-0033471","Cluster 6"
"570","2019_00-0033530","Cluster Other"
"571","2019_00-0033536","Cluster 5"
"572","2019_00-0033555","Cluster Other"
"573","2019_00-0033562","Cluster Other"
"574","2019_00-0033589","Cluster 6"
"575","2019_00-0033681","Cluster 6"
"576","2019_00-0033705","Cluster Other"
"577","2019_00-0033733","Cluster 7"
"578","2019_00-0033839","Cluster 7"
"579","2019_00-0033857","Cluster 3"
"580","2019_00-0033871","Cluster 3"
"581","2019_00-0033891","Cluster 6"
"582","2019_00-0033908","Cluster 7"
"583","2019_00-0033921","Cluster 3"
"584","2019_00-0033932","Cluster 3"
"585","2019_00-0033943","Cluster 6"
"586","2019_00-0034034","Cluster Other"
"587","2019_00-0034052","Cluster 6"
"588","2019_00-0034081","Cluster 6"
"589","2019_00-0034104","Cluster Other"
"590","2019_00-0034132","Cluster 6"
"591","2019_00-0034267","Cluster Other"
"592","2019_00-0034272","Cluster 6"
"593","2019_00-0034273","Cluster 6"
"594","2019_00-0034286","Cluster Other"
"595","2019_00-0034297","Cluster Other"
"596","2019_00-0034339","Cluster 7"
"597","2019_00-0034348","Cluster 3"
"598","2019_00-0034353","Cluster 7"
"599","2019_00-0034366","Cluster 7"
"600","2019_00-0034370","Cluster 7"
"601","2019_00-0034386","Cluster 6"
"602","2019_00-0034406","Cluster 6"
"603","2019_00-0034411","Cluster 7"
"604","2019_00-0034418","Cluster 6"
"605","2019_00-0034419","Cluster 7"
"606","2019_00-0034426","Cluster 6"
"607","2019_00-0034487","Cluster Other"
"608","2019_00-0034510","Cluster Other"
"609","2019_00-0034521","Cluster 6"
"610","2019_00-0034593","Cluster Other"
"611","2019_00-0034631","Cluster 6"
"612","2019_00-0034653","Cluster 6"
"613","2019_00-0034676","Cluster 5"
"614","2019_00-0034686","Cluster 5"
"615","2019_00-0034764","Cluster 3"
"616","2019_00-0034765","Cluster 7"
"617","2019_00-0034772","Cluster 5"
"618","2019_00-0034775","Cluster 3"
"619","2019_00-0034777","Cluster 3"
"620","2019_00-0034827","Cluster 3"
"621","2019_00-0034837","Cluster 5"
"622","2019_00-0034854","Cluster Other"
"623","2019_00-0034860","Cluster Other"
"624","2019_00-0034928","Cluster 7"
"625","2019_00-0034960","Cluster 6"
"626","2019_00-0035006","Cluster 7"
"627","2019_00-0035140","Cluster Other"
"628","2019_00-0035208","Cluster Other"
"629","2019_00-0035216","Cluster 3"
"630","2019_00-0035287","Cluster 6"
"631","2019_00-0035297","Cluster 6"
"632","2019_00-0035298","Cluster 6"
"633","2019_00-0035350","Cluster 5"
"634","2019_00-0035399","Cluster Other"
"635","2019_00-0035401","Cluster 6"
"636","2019_00-0035527","Cluster Other"
"637","2019_00-0035535","Cluster 5"
"638","2019_00-0035548","Cluster Other"
"639","2019_00-0035592","Cluster Other"
"640","2019_00-0035597","Cluster Other"
"641","2019_00-0035624","Cluster 6"
"642","2019_00-0035639","Cluster Other"
"643","2019_00-0035640","Cluster 3"
"644","2019_00-0035659","Cluster 3"
"645","2019_00-0035662","Cluster 3"
"646","2019_00-0035676","Cluster 3"
"647","2019_00-0035703","Cluster 6"
"648","2019_00-0035719","Cluster 3"
"649","2020_00-0022921","Cluster 7"
"650","2020_00-0026035","Cluster 7"
"651","2020_00-0026189","Cluster 5"
"652","2020_00-0027150","Cluster 7"
"653","2020_00-0027685","Cluster 3"
"654","2020_00-0027793","Cluster 7"
"655","2020_00-0027891","Cluster 7"
"656","2020_00-0027902","Cluster 6"
"657","2020_00-0027942","Cluster 5"
"658","2020_00-0027944","Cluster 3"
"659","2020_00-0028002","Cluster 7"
"660","2020_00-0028411","Cluster 6"
"661","2020_00-0029000","Cluster 7"
"662","2020_00-0029137","Cluster 6"
"663","2020_00-0029293","Cluster 3"
"664","2020_00-0029608","Cluster 5"
"665","2020_00-0029632","Cluster 6"
"666","2020_00-0030035","Cluster 3"
"667","2020_00-0030085","Cluster 6"
"668","2020_00-0030279","Cluster 3"
"669","2020_00-0030431","Cluster 3"
"670","2020_00-0030564","Cluster 3"
"671","2020_00-0030663","Cluster 7"
"672","2020_00-0030670","Cluster Other"
"673","2020_00-0031051","Cluster 5"
"674","2020_00-0031166","Cluster Other"
"675","2020_00-0031235","Cluster 5"
"676","2020_00-0031236","Cluster 3"
"677","2020_00-0031319","Cluster 6"
"678","2020_00-0031325","Cluster 7"
"679","2020_00-0031339","Cluster Other"
"680","2020_00-0031381","Cluster 3"
"681","2020_00-0031382","Cluster 3"
"682","2020_00-0031408","Cluster 3"
"683","2020_00-0031428","Cluster 3"
"684","2020_00-0031544","Cluster 3"
"685","2020_00-0031547","Cluster 3"
"686","2020_00-0031549","Cluster 5"
"687","2020_00-0031588","Cluster 3"
"688","2020_00-0031868","Cluster 5"
"689","2020_00-0031941","Cluster 7"
"690","2020_00-0032009","Cluster 7"
"691","2020_00-0032054","Cluster 5"
"692","2020_00-0032128","Cluster 6"
"693","2020_00-0032211","Cluster 3"
"694","2020_00-0032385","Cluster 3"
"695","2020_00-0032464","Cluster 6"
"696","2020_00-0032543","Cluster Other"
"697","2020_00-0032688","Cluster 3"
"698","2020_00-0032765","Cluster 3"
"699","2020_00-0032775","Cluster 7"
"700","2020_00-0032791","Cluster Other"
"701","2020_00-0032951","Cluster Other"
"702","2020_00-0032977","Cluster 5"
"703","2020_00-0032980","Cluster 6"
"704","2020_00-0033009","Cluster 7"
"705","2020_00-0033040","Cluster 3"
"706","2020_00-0033094","Cluster 6"
"707","2020_00-0033111","Cluster Other"
"708","2020_00-0033114","Cluster 6"
"709","2020_00-0033127","Cluster 3"
"710","2020_00-0033251","Cluster 3"
"711","2020_00-0033282","Cluster 7"
"712","2020_00-0033292","Cluster 6"
"713","2020_00-0033307","Cluster 7"
"714","2020_00-0033367","Cluster 6"
"715","2020_00-0033375","Cluster 3"
"716","2020_00-0033382","Cluster Other"
"717","2020_00-0033460","Cluster Other"
"718","2020_00-0033466","Cluster Other"
"719","2020_00-0033471","Cluster 7"
"720","2020_00-0033536","Cluster 5"
"721","2020_00-0033555","Cluster 6"
"722","2020_00-0033572","Cluster Other"
"723","2020_00-0033589","Cluster Other"
"724","2020_00-0033591","Cluster 6"
"725","2020_00-0033681","Cluster 7"
"726","2020_00-0033733","Cluster 7"
"727","2020_00-0033840","Cluster 3"
"728","2020_00-0033857","Cluster 7"
"729","2020_00-0033871","Cluster 3"
"730","2020_00-0033891","Cluster Other"
"731","2020_00-0033908","Cluster 7"
"732","2020_00-0033911","Cluster Other"
"733","2020_00-0033921","Cluster 3"
"734","2020_00-0033932","Cluster 5"
"735","2020_00-0033943","Cluster 3"
"736","2020_00-0034054","Cluster Other"
"737","2020_00-0034081","Cluster 6"
"738","2020_00-0034104","Cluster 3"
"739","2020_00-0034132","Cluster 6"
"740","2020_00-0034272","Cluster 5"
"741","2020_00-0034273","Cluster 6"
"742","2020_00-0034279","Cluster 6"
"743","2020_00-0034286","Cluster Other"
"744","2020_00-0034297","Cluster Other"
"745","2020_00-0034309","Cluster 7"
"746","2020_00-0034348","Cluster Other"
"747","2020_00-0034353","Cluster 7"
"748","2020_00-0034366","Cluster 7"
"749","2020_00-0034370","Cluster 6"
"750","2020_00-0034386","Cluster 6"
"751","2020_00-0034395","Cluster 6"
"752","2020_00-0034411","Cluster 7"
"753","2020_00-0034418","Cluster Other"
"754","2020_00-0034419","Cluster Other"
"755","2020_00-0034426","Cluster Other"
"756","2020_00-0034487","Cluster Other"
"757","2020_00-0034521","Cluster 3"
"758","2020_00-0034631","Cluster Other"
"759","2020_00-0034646","Cluster Other"
"760","2020_00-0034652","Cluster Other"
"761","2020_00-0034676","Cluster 6"
"762","2020_00-0034686","Cluster 6"
"763","2020_00-0034764","Cluster 5"
"764","2020_00-0034765","Cluster 3"
"765","2020_00-0034772","Cluster 6"
"766","2020_00-0034775","Cluster 5"
"767","2020_00-0034777","Cluster 5"
"768","2020_00-0034827","Cluster 3"
"769","2020_00-0034837","Cluster 5"
"770","2020_00-0034854","Cluster 6"
"771","2020_00-0034860","Cluster 6"
"772","2020_00-0034928","Cluster 7"
"773","2020_00-0034960","Cluster 3"
"774","2020_00-0034983","Cluster 7"
"775","2020_00-0035006","Cluster 6"
"776","2020_00-0035140","Cluster Other"
"777","2020_00-0035208","Cluster 6"
"778","2020_00-0035216","Cluster 3"
"779","2020_00-0035287","Cluster 6"
"780","2020_00-0035298","Cluster 6"
"781","2020_00-0035313","Cluster Other"
"782","2020_00-0035350","Cluster 5"
"783","2020_00-0035406","Cluster 7"
"784","2020_00-0035414","Cluster 5"
"785","2020_00-0035457","Cluster Other"
"786","2020_00-0035510","Cluster 6"
"787","2020_00-0035527","Cluster 6"
"788","2020_00-0035535","Cluster 5"
"789","2020_00-0035592","Cluster 5"
"790","2020_00-0035624","Cluster 7"
"791","2020_00-0035639","Cluster 7"
"792","2020_00-0035640","Cluster 3"
"793","2020_00-0035659","Cluster 3"
"794","2020_00-0035662","Cluster 3"
"795","2020_00-0035676","Cluster 3"
"796","2020_00-0035703","Cluster 5"
"797","2020_00-0035719","Cluster Other"
"798","2020_00-0035848","Cluster Other"
"799","2020_00-0035869","Cluster Other"
"800","2020_00-0036110","Cluster 6"
"801","2020_00-0036142","Cluster Other"
"802","2020_00-0036145","Cluster Other"
"803","2020_00-0036182","Cluster 6"
"804","2020_00-0036196","Cluster 5"
"805","2020_00-0036219","Cluster Other"
"806","2020_00-0036233","Cluster 6"
"807","2020_00-0036247","Cluster Other"
"808","2020_00-0036252","Cluster 3"
"809","2020_00-0036254","Cluster 6"
"810","2020_00-0036255","Cluster 5"
"811","2020_00-0036261","Cluster 3"
"812","2020_00-0036268","Cluster 7"
"813","2020_00-0036271","Cluster 6"
"814","2020_00-0036277","Cluster 6"
"815","2020_00-0036309","Cluster 5"
"816","2020_00-0036322","Cluster 3"
"817","2020_00-0036326","Cluster 5"
"818","2020_00-0036331","Cluster Other"
"819","2020_00-0036340","Cluster Other"
"820","2020_00-0036357","Cluster 5"
"821","2020_00-0036358","Cluster 7"
"822","2020_00-0036365","Cluster Other"
"823","2020_00-0036382","Cluster Other"
"824","2020_00-0036387","Cluster 5"
"825","2020_00-0036398","Cluster Other"
"826","2020_00-0036407","Cluster 5"
"827","2020_00-0036410","Cluster 3"
"828","2020_00-0036412","Cluster 7"
"829","2020_00-0036415","Cluster 6"
"830","2020_00-0036427","Cluster Other"
"831","2020_00-0036439","Cluster 6"
"832","2021_00-0026035","Cluster 7"
"833","2021_00-0026189","Cluster 6"
"834","2021_00-0027685","Cluster 5"
"835","2021_00-0027691","Cluster Other"
"836","2021_00-0027942","Cluster 5"
"837","2021_00-0027944","Cluster 3"
"838","2021_00-0028002","Cluster 7"
"839","2021_00-0029000","Cluster 7"
"840","2021_00-0029269","Cluster Other"
"841","2021_00-0029293","Cluster 5"
"842","2021_00-0029608","Cluster 5"
"843","2021_00-0029632","Cluster 7"
"844","2021_00-0029664","Cluster Other"
"845","2021_00-0030035","Cluster 3"
"846","2021_00-0030068","Cluster 6"
"847","2021_00-0030085","Cluster Other"
"848","2021_00-0030279","Cluster 3"
"849","2021_00-0030431","Cluster 3"
"850","2021_00-0030525","Cluster 6"
"851","2021_00-0030564","Cluster 3"
"852","2021_00-0030669","Cluster Other"
"853","2021_00-0031235","Cluster 5"
"854","2021_00-0031236","Cluster 3"
"855","2021_00-0031319","Cluster Other"
"856","2021_00-0031325","Cluster 6"
"857","2021_00-0031381","Cluster 3"
"858","2021_00-0031382","Cluster 3"
"859","2021_00-0031408","Cluster 3"
"860","2021_00-0031428","Cluster 5"
"861","2021_00-0031544","Cluster 3"
"862","2021_00-0031545","Cluster Other"
"863","2021_00-0031547","Cluster 5"
"864","2021_00-0031549","Cluster 5"
"865","2021_00-0031588","Cluster 5"
"866","2021_00-0031763","Cluster 6"
"867","2021_00-0031787","Cluster Other"
"868","2021_00-0031868","Cluster 7"
"869","2021_00-0031941","Cluster 7"
"870","2021_00-0032009","Cluster 7"
"871","2021_00-0032054","Cluster Other"
"872","2021_00-0032128","Cluster 7"
"873","2021_00-0032200","Cluster Other"
"874","2021_00-0032208","Cluster 6"
"875","2021_00-0032211","Cluster 3"
"876","2021_00-0032355","Cluster 7"
"877","2021_00-0032385","Cluster 7"
"878","2021_00-0032398","Cluster Other"
"879","2021_00-0032464","Cluster 3"
"880","2021_00-0032688","Cluster 5"
"881","2021_00-0032775","Cluster 5"
"882","2021_00-0032778","Cluster 5"
"883","2021_00-0032951","Cluster 3"
"884","2021_00-0032977","Cluster 5"
"885","2021_00-0032980","Cluster Other"
"886","2021_00-0033009","Cluster 7"
"887","2021_00-0033040","Cluster 3"
"888","2021_00-0033114","Cluster 6"
"889","2021_00-0033127","Cluster 5"
"890","2021_00-0033215","Cluster Other"
"891","2021_00-0033251","Cluster 7"
"892","2021_00-0033282","Cluster Other"
"893","2021_00-0033307","Cluster 7"
"894","2021_00-0033367","Cluster 6"
"895","2021_00-0033375","Cluster 3"
"896","2021_00-0033460","Cluster 6"
"897","2021_00-0033466","Cluster Other"
"898","2021_00-0033471","Cluster Other"
"899","2021_00-0033536","Cluster 3"
"900","2021_00-0033555","Cluster 6"
"901","2021_00-0033572","Cluster 7"
"902","2021_00-0033591","Cluster 6"
"903","2021_00-0033681","Cluster 5"
"904","2021_00-0033733","Cluster Other"
"905","2021_00-0033839","Cluster 6"
"906","2021_00-0033857","Cluster 7"
"907","2021_00-0033871","Cluster 5"
"908","2021_00-0033891","Cluster 5"
"909","2021_00-0033908","Cluster 3"
"910","2021_00-0033921","Cluster 3"
"911","2021_00-0033932","Cluster 5"
"912","2021_00-0033943","Cluster 5"
"913","2021_00-0034052","Cluster Other"
"914","2021_00-0034104","Cluster 6"
"915","2021_00-0034132","Cluster Other"
"916","2021_00-0034272","Cluster 5"
"917","2021_00-0034279","Cluster 6"
"918","2021_00-0034297","Cluster Other"
"919","2021_00-0034348","Cluster 5"
"920","2021_00-0034353","Cluster Other"
"921","2021_00-0034407","Cluster 7"
"922","2021_00-0034411","Cluster 3"
"923","2021_00-0034418","Cluster 7"
"924","2021_00-0034419","Cluster Other"
"925","2021_00-0034487","Cluster Other"
"926","2021_00-0034521","Cluster 3"
"927","2021_00-0034652","Cluster 6"
"928","2021_00-0034676","Cluster 6"
"929","2021_00-0034686","Cluster Other"
"930","2021_00-0034764","Cluster 5"
"931","2021_00-0034765","Cluster 3"
"932","2021_00-0034775","Cluster 7"
"933","2021_00-0034777","Cluster 5"
"934","2021_00-0034827","Cluster 3"
"935","2021_00-0034837","Cluster 3"
"936","2021_00-0034854","Cluster 6"
"937","2021_00-0034930","Cluster Other"
"938","2021_00-0034960","Cluster 3"
"939","2021_00-0034983","Cluster 7"
"940","2021_00-0035021","Cluster 6"
"941","2021_00-0035022","Cluster 6"
"942","2021_00-0035045","Cluster Other"
"943","2021_00-0035101","Cluster Other"
"944","2021_00-0035126","Cluster 6"
"945","2021_00-0035140","Cluster Other"
"946","2021_00-0035208","Cluster 7"
"947","2021_00-0035215","Cluster Other"
"948","2021_00-0035216","Cluster 3"
"949","2021_00-0035298","Cluster 6"
"950","2021_00-0035341","Cluster Other"
"951","2021_00-0035350","Cluster Other"
"952","2021_00-0035406","Cluster Other"
"953","2021_00-0035414","Cluster 7"
"954","2021_00-0035457","Cluster Other"
"955","2021_00-0035480","Cluster 6"
"956","2021_00-0035510","Cluster 6"
"957","2021_00-0035535","Cluster 5"
"958","2021_00-0035544","Cluster Other"
"959","2021_00-0035593","Cluster Other"
"960","2021_00-0035624","Cluster 6"
"961","2021_00-0035639","Cluster 6"
"962","2021_00-0035640","Cluster 3"
"963","2021_00-0035645","Cluster Other"
"964","2021_00-0035659","Cluster 3"
"965","2021_00-0035662","Cluster 3"
"966","2021_00-0035676","Cluster 3"
"967","2021_00-0035719","Cluster 3"
"968","2021_00-0035864","Cluster Other"
"969","2021_00-0036110","Cluster Other"
"970","2021_00-0036133","Cluster Other"
"971","2021_00-0036182","Cluster 3"
"972","2021_00-0036196","Cluster 3"
"973","2021_00-0036219","Cluster 5"
"974","2021_00-0036228","Cluster 6"
"975","2021_00-0036233","Cluster 3"
"976","2021_00-0036247","Cluster 7"
"977","2021_00-0036252","Cluster 3"
"978","2021_00-0036254","Cluster 6"
"979","2021_00-0036255","Cluster Other"
"980","2021_00-0036259","Cluster Other"
"981","2021_00-0036261","Cluster 3"
"982","2021_00-0036268","Cluster 7"
"983","2021_00-0036271","Cluster 3"
"984","2021_00-0036277","Cluster 3"
"985","2021_00-0036309","Cluster 3"
"986","2021_00-0036322","Cluster 3"
"987","2021_00-0036326","Cluster 3"
"988","2021_00-0036331","Cluster 7"
"989","2021_00-0036345","Cluster 7"
"990","2021_00-0036358","Cluster 3"
"991","2021_00-0036365","Cluster 3"
"992","2021_00-0036387","Cluster 5"
"993","2021_00-0036407","Cluster 7"
"994","2021_00-0036410","Cluster 3"
"995","2021_00-0036412","Cluster 6"
"996","2021_00-0036415","Cluster 5"
"997","2021_00-0036427","Cluster 7"
"998","2021_00-0036482","Cluster 6"
"999","2021_00-0036554","Cluster 5"
"1000","2021_00-0036572","Cluster Other"
"1001","2021_00-0036613","Cluster 3"
"1002","2021_00-0036620","Cluster 6"
"1003","2021_00-0036626","Cluster 6"
"1004","2021_00-0036627","Cluster 6"
"1005","2021_00-0036635","Cluster Other"
"1006","2021_00-0036657","Cluster Other"
"1007","2021_00-0036671","Cluster 6"
"1008","2021_00-0036862","Cluster 6"
"1009","2021_00-0036877","Cluster Other"
"1010","2021_00-0036900","Cluster 3"
"1011","2021_00-0036912","Cluster 5"
"1012","2021_00-0036913","Cluster Other"
"1013","2021_00-0036936","Cluster Other"
"1014","2021_00-0036951","Cluster Other"
"1015","2021_00-0036955","Cluster 7"
"1016","2021_00-0036963","Cluster 7"
"1017","2021_00-0036980","Cluster 5"
"1018","2021_00-0036988","Cluster Other"
"1019","2021_00-0036991","Cluster Other"
"1020","2021_00-0036999","Cluster Other"
